note,date updated,status,publication_title_original,publication_title_transliteration,print_identifier,online_identifier,date_first_issue_online,num_first_vol_online,num_first_issue_online,date_last_issue_online,num_last_vol_online,num_last_issue_online,title_url,first_author,title_id,embargo_info,coverage_depth,coverage_notes,publisher_name,location,title_notes,staff_notes,vendor_id,oclc_collection_name,oclc_collection_id,oclc_entry_id,oclc_linkscheme,oclc_number,ACTION,Aleph BSN,publication_type,date_monograph_published_print,date_monograph_published_online,monograph_volume,monograph_edition,first_editor,parent_publication_title_id,preceding_publication_title_id,access_type,previous_url
,,local update,"""Wenn Du mein Bruder bist,…"" : Interaktion und Textgestaltung in atlbabylonischen Alltagsbriefen",,,,,,,,,,http://hdl.handle.net/2333.1/000001rh,W. Sallaberger,,,,,,,,,,Ancient World Digital Library,global.5644.217,,,1224940026,,003709827,monograph,,,,,,,,free,
,,oclc ws,A catalogue of the Egyptian antiquities in the possession of F.G. Hilton Price (v.1),,,,,,,,,,http://hdl.handle.net/2333.1/4b8gtpm6,F.G. Hilton Price,,,ebook,,,,,,,Ancient World Digital Library,global.5644.217,744746900,,744746900,,003497287,monograph,,,1,,,,,free,
,,oclc ws,A catalogue of the Egyptian antiquities in the possession of F.G. Hilton Price (v.2),,,,,,,,,,http://hdl.handle.net/2333.1/63xsj8kw,F.G. Hilton Price,,,ebook,,,,,,,Ancient World Digital Library,global.5644.217,744746900b,,744746900,,003497287,monograph,,,2,,,,,free,
,,local update,"A collection of hieroglyphs a contribution to the history of Egyptian writing,",,,,,,,,,,http://hdl.handle.net/2333.1/v41nsbxd,,,,ebook,,,,,,,Ancient World Digital Library,global.5644.217,681714968,,681714968,,003497683,monograph,,,,,,,,free,http://dlib.nyu.edu/awdl/books/collectionofhier06grif
,,oclc ws,A companion to Demotic studies,,,,,,,,,,http://hdl.handle.net/2333.1/zgmsbj8x,Mark Depauw,,,ebook,,,,,,,Ancient World Digital Library,global.5644.217,669688620,,669688620,,005684211,monograph,,,,,,,,free,
,,local update,A Cow of Sîn,,,,,,,,,,http://hdl.handle.net/2333.1/sf7m0fb0,N. Veldhuis,,,,,,,,,,Ancient World Digital Library,global.5644.217,,,1224929199,,003709878,monograph,,,,,,,,free,
"updated M, AN - JAS 4/6/21",,oclc ws,A guide to the Egyptian galleries (sculpture),,,,,,,,,,http://hdl.handle.net/2333.1/83bk3vdf,,,,ebook,,,,,,,Ancient World Digital Library,global.5644.217,679861170,,679861170,,003497783,monograph,,,,,,,,free,http://dlib.nyu.edu/awdl/books/guidetoegyptiang00brit
,,local update,"A History of the Jews in Babylonia, Part 2. The Early Sasanian Period",,,,,,,,,,http://hdl.handle.net/2333.1/bvq83dc0,J. Neusner,,,,,,,,,,Ancient World Digital Library,global.5644.217,,,578302037,,003710193,monograph,,,,,,,,free,
,,local update,"A History of the Jews in Babylonia, Part 4. The Age of Shapur II",,,,,,,,,,http://hdl.handle.net/2333.1/wwpzgpp0,J. Neusner,,,,,,,,,,Ancient World Digital Library,global.5644.217,,,578302037,,003710193,monograph,,,,,,,,free,
,,local update,"A History of the Jews in Babylonia, Part 5. Later Sasanian Times",,,,,,,,,,http://hdl.handle.net/2333.1/s4mw6p64,J. Neusner,,,,,,,,,,Ancient World Digital Library,global.5644.217,,,578302037,,003710193,monograph,,,,,,,,free,
Updated this line,,local update,"A New “Roman” Sword from Soknopaiou Nesos (El-Fayyum, Egypt)",,,,,,,,,,http://doi.org/2333.1/c59zw6cw,Paola Davoli,,,,,,,,,,Ancient World Digital Library,global.5644.217,,,1225156159,,004167157,monograph,,,,,,,,free,
"removed the 2nd entry (with uniform title) has been removed from oclc and from this spreadsheet.  Check the oclc ws if they applied correctly, 1/4/2021, jk",,oclc ws,"A new discovery of a component of Greek astrology in Babylonian tablets: the """"terms"""" /",,,,,,,,,,http://doi.org/2333.1/k98sf96r,Alexander Jones,,,ebook,,,,,,,Ancient World Digital Library,global.5644.217,768969647,,768969647,,003551343,monograph,,,,,,,,free,
"updated M, AN - JAS 4/6/21",,oclc ws,A photographic souvenir of Egypt /,,,,,,,,,,http://hdl.handle.net/2333.1/cjsxm3qc,,,,ebook,,,,,,,Ancient World Digital Library,global.5644.217,746177255,,746177255,,003498056,monograph,,,,,,,,free,http://dlib.nyu.edu/awdl/books/photographicsouv00vegn
,,local update,"A pilgrimage to the temples and tombs of Egypt, Nubia, and Palestine, in 1845-6 (v.1)",,,,,,,,,,http://hdl.handle.net/2333.1/7sqvb367,,,,ebook,,,,,,,Ancient World Digital Library,global.5644.217,615665980a,,615665980,,003498057,monograph,,,1,,,,,free,http://dlib.nyu.edu/awdl/books/pilgrimagetotemp01rome
,,local update,"A pilgrimage to the temples and tombs of Egypt, Nubia, and Palestine, in 1845-6 (v.2)",,,,,,,,,,http://hdl.handle.net/2333.1/41ns22px,,,,ebook,,,,,,,Ancient World Digital Library,global.5644.217,615665980b,,615665980,,003498057,monograph,,,2,,,,,free,http://dlib.nyu.edu/awdl/books/pilgrimagetotemp02rome
,,local update,A Samaritan Philosophy : A Study of the Hellenistic Cultural Ethos of the Memar Marqah,,,,,,,,,,http://hdl.handle.net/2333.1/x0k6dmcz,A. Broadie,,,,,,,,,,Ancient World Digital Library,global.5644.217,,,1224934362,,003710203,monograph,,,,,,,,free,
,,oclc ws,A sixth century account of hay (P. Iand. Inv. 653),,,,,,,,,,http://hdl.handle.net/2333.1/m63xspzx,T. Reekmans,,,ebook,,,,,,,Ancient World Digital Library,global.5644.217,669322150,,669322150,,005684177,monograph,,,,,,,,free,
Duplicate has been taken care of with oclc ws entries.  Just check if they are approved.  jk 1/4/2021,,oclc ws,A Syriac fragment from the Cause of All Causes on the Pillars of Hercules /,,,,,,,,,,http://doi.org/2333.1/j9kd5302,Adam C. McCollum,,,ebook,,,,,,,Ancient World Digital Library,global.5644.217,828186962,,828186962,,003703818,monograph,,,,,,,,free,
"updated M, AN - JAS 4/6/21",,oclc ws,A thousand miles up the Nile /,,,,,,,,,,http://hdl.handle.net/2333.1/wdbrvb9b,,,,ebook,,,,,,,Ancient World Digital Library,global.5644.217,746177292,,746177292,,003498138,monograph,,,,,,,,free,http://dlib.nyu.edu/awdl/books/thousandmilesupn00edwa
,,oclc ws,A Yale papyrus (P Yale III 137) in the Beinecke Rare Book and Manuscript Library III,,,,,,,,,,http://hdl.handle.net/2333.1/41ns1x42,Paul Schubert,,,ebook,,,,,,,Ancient World Digital Library,global.5644.217,652329949,,652329949,,004068916,monograph,,,,,,,,free,
,,oclc ws,Abbreviations in Greek Literary Papyri and Ostraca,,,,,,,,,,http://hdl.handle.net/2333.1/gtht7bz1,Kathleen McNamee,,,ebook,,,,,,,Ancient World Digital Library,global.5644.217,970345258,,970345258,,004571773,monograph,,,,,,,,free,
,,oclc ws,"Abū Sa‘īd-i Abū l-Hayr (357-440/967-1049) : Wirklichkeit und Legende. (Textes et Mémoires, 4).","Abū Sa‘īd-i Abū l-Hayr (357-440/967-1049) : Wirklichkeit und Legende. (Textes et Mémoires, 4).",,,,,,,,,http://hdl.handle.net/2333.1/hx3ffd84,F. Meier,,,ebook,,,,,,,Ancient World Digital Library,global.5644.217,988154456,,988154456,,003709763,monograph,,,,,,,,free,
MarcEdit needed (OCLC has non-stable AWDL link only),,local update,Abydos: le temple de Séti Ier,,,,,,,,,,http://hdl.handle.net/2333.1/bzkh1kdp,,,,ebook,,,,,,,Ancient World Digital Library,global.5644.217,730929765,,730929765,,003458980,monograph,,,,,,,,free,http://dlib.nyu.edu/awdl/books/abydosletemplede00capa
