note,date updated,status,publication_title_original,publication_title_transliteration,print_identifier,online_identifier,date_first_issue_online,num_first_vol_online,num_first_issue_online,date_last_issue_online,num_last_vol_online,num_last_issue_online,title_url,first_author,title_id,embargo_info,coverage_depth,coverage_notes,publisher_name,location,title_notes,staff_notes,vendor_id,oclc_collection_name,oclc_collection_id,oclc_entry_id,oclc_linkscheme,oclc_number,ACTION,Aleph BSN,publication_type,date_monograph_published_print,date_monograph_published_online,monograph_volume,monograph_edition,first_editor,parent_publication_title_id,preceding_publication_title_id,access_type,previous_url
,,local update,"""Wenn Du mein Bruder bist,…"" : Interaktion und Textgestaltung in atlbabylonischen Alltagsbriefen",,,,,,,,,,http://hdl.handle.net/2333.1/000001rh,W. Sallaberger,000001rh,,ebook,,,,,,,Ancient World Digital Library,global.5644.217,,,1224940026,raw,003709827,monograph,,,,,,,,free,
,,oclc ws,A catalogue of the Egyptian antiquities in the possession of F.G. Hilton Price (v.1),,,,,,,,,,http://hdl.handle.net/2333.1/4b8gtpm6,F.G. Hilton Price,4b8gtpm6,,ebook,,,,,,,Ancient World Digital Library,global.5644.217,744746900,,744746900,raw,003497287,monograph,,,1,,,,,free,
,,oclc ws,A catalogue of the Egyptian antiquities in the possession of F.G. Hilton Price (v.2),,,,,,,,,,http://hdl.handle.net/2333.1/63xsj8kw,F.G. Hilton Price,63xsj8kw,,ebook,,,,,,,Ancient World Digital Library,global.5644.217,744746900b,,744746900,raw,003497287,monograph,,,2,,,,,free,
,,local update,"A collection of hieroglyphs a contribution to the history of Egyptian writing,",,,,,,,,,,http://hdl.handle.net/2333.1/v41nsbxd,,v41nsbxd,,ebook,,,,,,,Ancient World Digital Library,global.5644.217,681714968,,681714968,raw,003497683,monograph,,,,,,,,free,http://dlib.nyu.edu/awdl/books/collectionofhier06grif
,,oclc ws,A companion to Demotic studies,,,,,,,,,,http://hdl.handle.net/2333.1/zgmsbj8x,Mark Depauw,zgmsbj8x,,ebook,,,,,,,Ancient World Digital Library,global.5644.217,669688620,,669688620,raw,005684211,monograph,,,,,,,,free,
,,local update,A Cow of Sîn,,,,,,,,,,http://hdl.handle.net/2333.1/sf7m0fb0,N. Veldhuis,sf7m0fb0,,ebook,,,,,,,Ancient World Digital Library,global.5644.217,,,1224929199,raw,003709878,monograph,,,,,,,,free,
"updated M, AN - JAS 4/6/21",,oclc ws,A guide to the Egyptian galleries (sculpture),,,,,,,,,,http://hdl.handle.net/2333.1/83bk3vdf,,83bk3vdf,,ebook,,,,,,,Ancient World Digital Library,global.5644.217,679861170,,679861170,raw,003497783,monograph,,,,,,,,free,http://dlib.nyu.edu/awdl/books/guidetoegyptiang00brit
,,local update,"A History of the Jews in Babylonia, Part 2. The Early Sasanian Period",,,,,,,,,,http://hdl.handle.net/2333.1/bvq83dc0,J. Neusner,bvq83dc0,,ebook,,,,,,,Ancient World Digital Library,global.5644.217,,,578302037,raw,003710193,monograph,,,,,,,,free,
,,local update,"A History of the Jews in Babylonia, Part 4. The Age of Shapur II",,,,,,,,,,http://hdl.handle.net/2333.1/wwpzgpp0,J. Neusner,wwpzgpp0,,ebook,,,,,,,Ancient World Digital Library,global.5644.217,,,578302037,raw,003710193,monograph,,,,,,,,free,
,,local update,"A History of the Jews in Babylonia, Part 5. Later Sasanian Times",,,,,,,,,,http://hdl.handle.net/2333.1/s4mw6p64,J. Neusner,s4mw6p64,,ebook,,,,,,,Ancient World Digital Library,global.5644.217,,,578302037,raw,003710193,monograph,,,,,,,,free,
Updated this line,,local update,"A New “Roman” Sword from Soknopaiou Nesos (El-Fayyum, Egypt)",,,,,,,,,,http://doi.org/2333.1/c59zw6cw,Paola Davoli,c59zw6cw,,ebook,,,,,,,Ancient World Digital Library,global.5644.217,,,1225156159,raw,004167157,monograph,,,,,,,,free,
