"note","date updated","status","publication_title","print_identifier","online_identifier","date_first_issue_online","num_first_vol_online","num_first_issue_online","date_last_issue_online","num_last_vol_online","num_last_issue_online","title_url","first_author","title_id","embargo_info","coverage_depth","notes","publisher_name","publication_type","date_monograph_published_print","date_monograph_published_online","monograph_volume","monograph_edition","first_editor","parent_publication_title_id","preceding_publication_title_id","access_type","location","title_notes","staff_notes","vendor_id","oclc_collection_name","oclc_collection_id","oclc_entry_id","oclc_linkscheme","oclc_number","ACTION","Aleph BSN","previous_url"
,,"modified oclc ws","""Wenn Du mein Bruder bist,…"" : Interaktion und Textgestaltung in atlbabylonischen Alltagsbriefen",,,,,,,,,"http://hdl.handle.net/2333.1/000001rh","W. Sallaberger",,,,,,"monograph",,,,,,,,"free",,,,,"Ancient World Digital Library","global.5644.217",,,1224940026,,3709827,
,,"oclc ws","A catalogue of the Egyptian antiquities in the possession of F.G. Hilton Price (v.1)",,,,,,,,,"http://hdl.handle.net/2333.1/4b8gtpm6","F.G. Hilton Price",,,"ebook",,,"monograph",,,1,,,,,"free",,,,,"Ancient World Digital Library","global.5644.217",744746900,,744746900,,3497287,
,,"oclc ws","A catalogue of the Egyptian antiquities in the possession of F.G. Hilton Price (v.2)",,,,,,,,,"http://hdl.handle.net/2333.1/63xsj8kw","F.G. Hilton Price",,,"ebook",,,"monograph",,,2,,,,,"free",,,,,"Ancient World Digital Library","global.5644.217","744746900b",,744746900,,3497287,
,,"modified oclc ws","A collection of hieroglyphs a contribution to the history of Egyptian writing,",,,,,,,,,"http://hdl.handle.net/2333.1/v41nsbxd",,,,"ebook",,,"monograph",,,,,,,,"free",,,,,"Ancient World Digital Library","global.5644.217",681714968,,681714968,,3497683,"http://dlib.nyu.edu/awdl/books/collectionofhier06grif"
,,"oclc ws","A companion to Demotic studies",,,,,,,,,"http://hdl.handle.net/2333.1/zgmsbj8x","Mark Depauw",,,"ebook",,,"monograph",,,,,,,,"free",,,,,"Ancient World Digital Library","global.5644.217",669688620,,669688620,,5684211,
,,"modified oclc ws","A Cow of Sîn",,,,,,,,,"http://hdl.handle.net/2333.1/sf7m0fb0","N. Veldhuis",,,,,,"monograph",,,,,,,,"free",,,,,"Ancient World Digital Library","global.5644.217",,,1224929199,,3709878,
"updated M, AN - JAS 4/6/21",,"oclc ws","A guide to the Egyptian galleries (sculpture)",,,,,,,,,"http://hdl.handle.net/2333.1/83bk3vdf",,,,"ebook",,,"monograph",,,,,,,,"free",,,,,"Ancient World Digital Library","global.5644.217",679861170,,679861170,,3497783,"http://dlib.nyu.edu/awdl/books/guidetoegyptiang00brit"
,,"modified oclc ws","A History of the Jews in Babylonia, Part 2. The Early Sasanian Period",,,,,,,,,"http://hdl.handle.net/2333.1/bvq83dc0","J. Neusner",,,,,,"monograph",,,,,,,,"free",,,,,"Ancient World Digital Library","global.5644.217",,,578302037,,3710193,
,,"modified oclc ws","A History of the Jews in Babylonia, Part 4. The Age of Shapur II",,,,,,,,,"http://hdl.handle.net/2333.1/wwpzgpp0","J. Neusner",,,,,,"monograph",,,,,,,,"free",,,,,"Ancient World Digital Library","global.5644.217",,,578302037,,3710193,
,,"modified oclc ws","A History of the Jews in Babylonia, Part 5. Later Sasanian Times",,,,,,,,,"http://hdl.handle.net/2333.1/s4mw6p64","J. Neusner",,,,,,"monograph",,,,,,,,"free",,,,,"Ancient World Digital Library","global.5644.217",,,578302037,,3710193,
"Updated this line",,"modified oclc ws","A New “Roman” Sword from Soknopaiou Nesos (El-Fayyum, Egypt)",,,,,,,,,"http://doi.org/2333.1/c59zw6cw","Paola Davoli",,,,,,"monograph",,,,,,,,"free",,,,,"Ancient World Digital Library","global.5644.217",,,1225156159,,4167157,
"removed the 2nd entry (with uniform title) has been removed from oclc and from this spreadsheet.  Check the oclc ws if they applied correctly, 1/4/2021, jk",,"oclc ws","A new discovery of a component of Greek astrology in Babylonian tablets: the """"terms"""" /",,,,,,,,,"http://doi.org/2333.1/k98sf96r","Alexander Jones",,,"ebook",,,"monograph",,,,,,,,"free",,,,,"Ancient World Digital Library","global.5644.217",768969647,,768969647,,3551343,
"updated M, AN - JAS 4/6/21",,"oclc ws","A photographic souvenir of Egypt /",,,,,,,,,"http://hdl.handle.net/2333.1/cjsxm3qc",,,,"ebook",,,"monograph",,,,,,,,"free",,,,,"Ancient World Digital Library","global.5644.217",746177255,,746177255,,3498056,"http://dlib.nyu.edu/awdl/books/photographicsouv00vegn"
,,"modified oclc ws","A pilgrimage to the temples and tombs of Egypt, Nubia, and Palestine, in 1845-6 (v.1)",,,,,,,,,"http://hdl.handle.net/2333.1/7sqvb367",,,,"ebook",,,"monograph",,,1,,,,,"free",,,,,"Ancient World Digital Library","global.5644.217","615665980a",,615665980,,3498057,"http://dlib.nyu.edu/awdl/books/pilgrimagetotemp01rome"
,,"modified oclc ws","A pilgrimage to the temples and tombs of Egypt, Nubia, and Palestine, in 1845-6 (v.2)",,,,,,,,,"http://hdl.handle.net/2333.1/41ns22px",,,,"ebook",,,"monograph",,,2,,,,,"free",,,,,"Ancient World Digital Library","global.5644.217","615665980b",,615665980,,3498057,"http://dlib.nyu.edu/awdl/books/pilgrimagetotemp02rome"
,,"modified oclc ws","A Samaritan Philosophy : A Study of the Hellenistic Cultural Ethos of the Memar Marqah",,,,,,,,,"http://hdl.handle.net/2333.1/x0k6dmcz","A. Broadie",,,,,,"monograph",,,,,,,,"free",,,,,"Ancient World Digital Library","global.5644.217",,,1224934362,,3710203,
,,"oclc ws","A sixth century account of hay (P. Iand. Inv. 653)",,,,,,,,,"http://hdl.handle.net/2333.1/m63xspzx","T. Reekmans",,,"ebook",,,"monograph",,,,,,,,"free",,,,,"Ancient World Digital Library","global.5644.217",669322150,,669322150,,5684177,
"Duplicate has been taken care of with oclc ws entries.  Just check if they are approved.  jk 1/4/2021",,"oclc ws","A Syriac fragment from the Cause of All Causes on the Pillars of Hercules /",,,,,,,,,"http://doi.org/2333.1/j9kd5302","Adam C. McCollum",,,"ebook",,,"monograph",,,,,,,,"free",,,,,"Ancient World Digital Library","global.5644.217",828186962,,828186962,,3703818,
"updated M, AN - JAS 4/6/21",,"oclc ws","A thousand miles up the Nile /",,,,,,,,,"http://hdl.handle.net/2333.1/wdbrvb9b",,,,"ebook",,,"monograph",,,,,,,,"free",,,,,"Ancient World Digital Library","global.5644.217",746177292,,746177292,,3498138,"http://dlib.nyu.edu/awdl/books/thousandmilesupn00edwa"
,,"oclc ws","A Yale papyrus (P Yale III 137) in the Beinecke Rare Book and Manuscript Library III",,,,,,,,,"http://hdl.handle.net/2333.1/41ns1x42","Paul Schubert",,,"ebook",,,"monograph",,,,,,,,"free",,,,,"Ancient World Digital Library","global.5644.217",652329949,,652329949,,4068916,
,,"oclc ws","Abbreviations in Greek Literary Papyri and Ostraca",,,,,,,,,"http://hdl.handle.net/2333.1/gtht7bz1","Kathleen McNamee",,,"ebook",,,"monograph",,,,,,,,"free",,,,,"Ancient World Digital Library","global.5644.217",970345258,,970345258,,4571773,
,,"oclc ws","Abū Sa‘īd-i Abū l-Hayr (357-440/967-1049) : Wirklichkeit und Legende. (Textes et Mémoires, 4).",,,,,,,,,"http://hdl.handle.net/2333.1/hx3ffd84","F. Meier",,,"ebook",,,"monograph",,,,,,,,"free",,,,,"Ancient World Digital Library","global.5644.217",988154456,,988154456,,3709763,
"MarcEdit needed (OCLC has non-stable AWDL link only)",,"modified oclc ws","Abydos: le temple de Séti Ier",,,,,,,,,"http://hdl.handle.net/2333.1/bzkh1kdp",,,,"ebook",,,"monograph",,,,,,,,"free",,,,,"Ancient World Digital Library","global.5644.217",730929765,,730929765,,3458980,"http://dlib.nyu.edu/awdl/books/abydosletemplede00capa"
,,"oclc ws","Actes du Ve Congrès International de Papyrologie, Oxford, 30 août-3 septembre 1937",,,,,,,,,"http://hdl.handle.net/2333.1/bg79cz55",,,,"ebook",,,"monograph",,,,,,,,"free",,,,,"Ancient World Digital Library","global.5644.217",760922260,,760922260,,7566076,
