publication_title	print_identifier	online_identifier	date_first_issue_online	num_first_vol_online	num_first_issue_online	date_last_issue_online	num_last_vol_online	num_last_issue_online	title_url	first_author	title_id	embargo_info	coverage_depth	coverage_notes	publisher_name	location	title_notes	staff_notes	vendor_id	oclc_collection_name	oclc_collection_id	oclc_entry_id	oclc_linkscheme	oclc_number	publication_type	date_monograph_published_print	date_monograph_published_online	monograph_volume	monograph_edition	first_editor	parent_publication_title_id	preceding_publication_title_id	access_type
"""Wenn Du mein Bruder bist,…"" : Interaktion und Textgestaltung in atlbabylonischen Alltagsbriefen "									http://hdl.handle.net/2333.1/000001rh	W. Sallaberger	000001rh		fulltext							Ancient World Digital Library	global.5644.217			1224940026	monograph								free
A catalogue of the Egyptian antiquities in the possession of F.G. Hilton Price (v.1) 									http://hdl.handle.net/2333.1/4b8gtpm6	F.G. Hilton Price	4b8gtpm6		fulltext							Ancient World Digital Library	global.5644.217	744746900		744746900	monograph			1					free
A catalogue of the Egyptian antiquities in the possession of F.G. Hilton Price (v.2) 									http://hdl.handle.net/2333.1/63xsj8kw	F.G. Hilton Price	63xsj8kw		fulltext							Ancient World Digital Library	global.5644.217	744746900b		744746900	monograph			2					free
A collection of hieroglyphs a contribution to the history of Egyptian writing, 									http://hdl.handle.net/2333.1/v41nsbxd		v41nsbxd		fulltext							Ancient World Digital Library	global.5644.217	681714968		681714968	monograph								free
A companion to Demotic studies 									http://hdl.handle.net/2333.1/zgmsbj8x	Mark Depauw	zgmsbj8x		fulltext							Ancient World Digital Library	global.5644.217	669688620		669688620	monograph								free
A Cow of Sîn 									http://hdl.handle.net/2333.1/sf7m0fb0	N. Veldhuis	sf7m0fb0		fulltext							Ancient World Digital Library	global.5644.217			1224929199	monograph								free
A guide to the Egyptian galleries (sculpture) 									http://hdl.handle.net/2333.1/83bk3vdf		83bk3vdf		fulltext							Ancient World Digital Library	global.5644.217	679861170		679861170	monograph								free
A History of the Jews in Babylonia, Part 2. The Early Sasanian Period 									http://hdl.handle.net/2333.1/bvq83dc0	J. Neusner	bvq83dc0		fulltext							Ancient World Digital Library	global.5644.217			578302037	monograph								free
A History of the Jews in Babylonia, Part 4. The Age of Shapur II 									http://hdl.handle.net/2333.1/wwpzgpp0	J. Neusner	wwpzgpp0		fulltext							Ancient World Digital Library	global.5644.217			578302037	monograph								free
A History of the Jews in Babylonia, Part 5. Later Sasanian Times 									http://hdl.handle.net/2333.1/s4mw6p64	J. Neusner	s4mw6p64		fulltext							Ancient World Digital Library	global.5644.217			578302037	monograph								free
A New “Roman” Sword from Soknopaiou Nesos (El-Fayyum, Egypt) 									http://doi.org/2333.1/c59zw6cw	Paola Davoli	c59zw6cw		fulltext							Ancient World Digital Library	global.5644.217			1225156159	monograph								free
"A new discovery of a component of Greek astrology in Babylonian tablets: the """"terms"""" "									http://doi.org/2333.1/k98sf96r	Alexander Jones	k98sf96r		fulltext							Ancient World Digital Library	global.5644.217	768969647		768969647	monograph								free
A photographic souvenir of Egypt 									http://hdl.handle.net/2333.1/cjsxm3qc		cjsxm3qc		fulltext							Ancient World Digital Library	global.5644.217	746177255		746177255	monograph								free
A pilgrimage to the temples and tombs of Egypt, Nubia, and Palestine, in 1845-6 (v.1) 									http://hdl.handle.net/2333.1/7sqvb367		7sqvb367		fulltext							Ancient World Digital Library	global.5644.217	615665980a		615665980	monograph			1					free
A pilgrimage to the temples and tombs of Egypt, Nubia, and Palestine, in 1845-6 (v.2) 									http://hdl.handle.net/2333.1/41ns22px		41ns22px		fulltext							Ancient World Digital Library	global.5644.217	615665980b		615665980	monograph			2					free
A Samaritan Philosophy : A Study of the Hellenistic Cultural Ethos of the Memar Marqah 									http://hdl.handle.net/2333.1/x0k6dmcz	A. Broadie	x0k6dmcz		fulltext							Ancient World Digital Library	global.5644.217			1224934362	monograph								free
A sixth century account of hay (P. Iand. Inv. 653) 									http://hdl.handle.net/2333.1/m63xspzx	T. Reekmans	m63xspzx		fulltext							Ancient World Digital Library	global.5644.217	669322150		669322150	monograph								free
A Syriac fragment from the Cause of All Causes on the Pillars of Hercules 									http://doi.org/2333.1/j9kd5302	Adam C. McCollum	j9kd5302		fulltext							Ancient World Digital Library	global.5644.217	828186962		828186962	monograph								free
A thousand miles up the Nile 									http://hdl.handle.net/2333.1/wdbrvb9b		wdbrvb9b		fulltext							Ancient World Digital Library	global.5644.217	746177292		746177292	monograph								free
A Yale papyrus (P Yale III 137) in the Beinecke Rare Book and Manuscript Library III 									http://hdl.handle.net/2333.1/41ns1x42	Paul Schubert	41ns1x42		fulltext							Ancient World Digital Library	global.5644.217	652329949		652329949	monograph								free
Abbreviations in Greek Literary Papyri and Ostraca 									http://hdl.handle.net/2333.1/gtht7bz1	Kathleen McNamee	gtht7bz1		fulltext							Ancient World Digital Library	global.5644.217	970345258		970345258	monograph								free
Abū Sa‘īd-i Abū l-Hayr (357-440/967-1049) : Wirklichkeit und Legende. (Textes et Mémoires, 4). Abū Sa‘īd-i Abū l-Hayr (357-440/967-1049) : Wirklichkeit und Legende. (Textes et Mémoires, 4).									http://hdl.handle.net/2333.1/hx3ffd84	F. Meier	hx3ffd84		fulltext							Ancient World Digital Library	global.5644.217	988154456		988154456	monograph								free
Abydos: le temple de Séti Ier 									http://hdl.handle.net/2333.1/bzkh1kdp		bzkh1kdp		fulltext							Ancient World Digital Library	global.5644.217	730929765		730929765	monograph								free
Actes du Ve Congrès International de Papyrologie, Oxford, 30 août-3 septembre 1937 									http://hdl.handle.net/2333.1/bg79cz55		bg79cz55		fulltext							Ancient World Digital Library	global.5644.217	760922260		760922260	monograph								free
Aegypten zur zeit der pyramidenerbauer 									http://hdl.handle.net/2333.1/mgqnkmf5		mgqnkmf5		fulltext							Ancient World Digital Library	global.5644.217	903877101		903877101	monograph								free
Ägyptische Eheverträge 									http://hdl.handle.net/2333.1/zw3r26r0	Erich Lüddeckens	zw3r26r0		fulltext							Ancient World Digital Library	global.5644.217	770787413		770787413	monograph								free
Ahnas el Medineh (Heracleopolis Magna) : with chapters on Mendes, the nome of Thoth, and Leontopolis 									http://hdl.handle.net/2333.1/r7sqvmz9		r7sqvmz9		fulltext							Ancient World Digital Library	global.5644.217	730929768		730929768	monograph								free
Aksum and Nubia : warfare, commerce, and political fictions in ancient Northeast Africa 									http://hdl.handle.net/2333.1/tqjq2dg1		tqjq2dg1		fulltext							Ancient World Digital Library	global.5644.217	828687618		828687618	monograph								free
Alexander the Great: coinage, finances, and policy 									http://hdl.handle.net/2333.1/pnvx0vt8	Georges Le Rider	pnvx0vt8		fulltext							Ancient World Digital Library	global.5644.217	1165363379		1165363379	monograph								free
All those Nations : Cultural Encounters within and with the Near East 									http://hdl.handle.net/2333.1/79cnp78f	H.L.J. Vanstiphout	79cnp78f		fulltext							Ancient World Digital Library	global.5644.217	607347461		607347461	monograph								free
Amulets 									http://hdl.handle.net/2333.1/0rxwdnsf		0rxwdnsf		fulltext							Ancient World Digital Library	global.5644.217	730929769		730929769	monograph								free
An adventure of great dimension : the launching of the Chicago Assyrian dictionary 									http://hdl.handle.net/2333.1/15dv46w8	Erica Reiner	15dv46w8		fulltext							Ancient World Digital Library	global.5644.217	214460427		214460427	monograph								free
An Overview of the Numismatic Evidence from Imperial Roman Africa 									http://doi.org/2333.1/76hdrfz3	Daniel Hoyer	76hdrfz3		fulltext							Ancient World Digital Library	global.5644.217	1046078121		1046078121	monograph								free
Ancient Ammon 									http://hdl.handle.net/2333.1/jm63xvdj	Burton MacDonald 	jm63xvdj		fulltext							Ancient World Digital Library	global.5644.217	1224922620		1224922620	monograph								free
Ancient Building in Cyprus : Part 1: Text 									http://hdl.handle.net/2333.1/1g1jwvjt	G.R.H. Wright	1g1jwvjt		fulltext							Ancient World Digital Library	global.5644.217	643807504a		643807504	monograph								free
Ancient Building in Cyprus : Part 2: Illustrations 									http://hdl.handle.net/2333.1/wpzgmv6t	G.R.H. Wright	wpzgmv6t		fulltext							Ancient World Digital Library	global.5644.217	643807504b		643807504	monograph								free
Ancient Egyptian Literature : History and Forms 									http://hdl.handle.net/2333.1/gmsbcdvw	Antonio Loprieno	gmsbcdvw		fulltext							Ancient World Digital Library	global.5644.217	942022996		942022996	monograph								free
Ancient Synagogues: Historical Analysis and Archaeological Discovery, v.1 									http://hdl.handle.net/2333.1/hmgqnn48	Dan Urman	hmgqnn48		fulltext							Ancient World Digital Library	global.5644.217	621803849a		621803849	monograph			1					free
Ancient Synagogues: Historical Analysis and Archaeological Discovery, v.2 									http://hdl.handle.net/2333.1/cvdncmmx	Dan Urman 	cvdncmmx		fulltext							Ancient World Digital Library	global.5644.217	621803849b		621803849	monograph			2					free
Annotations in Greek and Latin texts from Egypt 									http://hdl.handle.net/2333.1/6m905vz5	Kathleen McNamee	6m905vz5		fulltext							Ancient World Digital Library	global.5644.217	984129165		984129165	monograph								free
Antinoë et les sépultures de Thaïs et Sérapion 									http://hdl.handle.net/2333.1/4j0zpp8m		4j0zpp8m		fulltext							Ancient World Digital Library	global.5644.217	730929770		730929770	monograph								free
Archaic objects (t.1) 									http://hdl.handle.net/2333.1/866t1s38		866t1s38		fulltext							Ancient World Digital Library	global.5644.217	730929771a		730929771	monograph								free
Archaic objects (t.2) 									http://hdl.handle.net/2333.1/cz8w9sk4		cz8w9sk4		fulltext							Ancient World Digital Library	global.5644.217	730929771b		730929771	monograph								free
Areika 									http://hdl.handle.net/2333.1/vt4b8nrx	David Randall-MacIver	vt4b8nrx		fulltext							Ancient World Digital Library	global.5644.217	540975412		540975412	monograph								free
Art in Egypt 									http://hdl.handle.net/2333.1/hqbzkt4q		hqbzkt4q		fulltext							Ancient World Digital Library	global.5644.217	730929772		730929772	monograph								free
Aspects of genre and type in pre-modern literary cultures 									http://hdl.handle.net/2333.1/2fqz62vg	Bert Roest, H.L.J. Vanstiphout	2fqz62vg		fulltext							Ancient World Digital Library	global.5644.217	607347471		607347471	monograph								free
Aspects of Old Assyrian Trade and its Terminology 									http://hdl.handle.net/2333.1/t76hdt3r	K.R. Veenhof	t76hdt3r		fulltext							Ancient World Digital Library	global.5644.217	793605242		793605242	monograph								free
Astral magic in Babylonia 									http://hdl.handle.net/2333.1/dfn2z8f5	Erica Reiner	dfn2z8f5		fulltext							Ancient World Digital Library	global.5644.217	681653665		681653665	monograph								free
Athletics and mathematics in archaic Corinth 									http://hdl.handle.net/2333.1/nzs7h9fh	David Gilman Romano	nzs7h9fh		fulltext							Ancient World Digital Library	global.5644.217	1022269003		1022269003	monograph								free
