publication_title	print_identifier	online_identifier	date_first_issue_online	num_first_vol_online	num_first_issue_online	date_last_issue_online	num_last_vol_online	num_last_issue_online	title_url	first_author	title_id	embargo_info	coverage_depth	coverage_notes	publisher_name	location	title_notes	staff_notes	vendor_id	oclc_collection_name	oclc_collection_id	oclc_entry_id	oclc_linkscheme	oclc_number	ACTION
"""Wenn Du mein Bruder bist,…"" : Interaktion und Textgestaltung in atlbabylonischen Alltagsbriefen "									http://hdl.handle.net/2333.1/000001rh	W. Sallaberger										Ancient World Digital Library	global.5644.217			1224940026	
A catalogue of the Egyptian antiquities in the possession of F.G. Hilton Price (v.1) 									http://hdl.handle.net/2333.1/4b8gtpm6	F.G. Hilton Price			ebook							Ancient World Digital Library	global.5644.217	744746900		744746900	
A catalogue of the Egyptian antiquities in the possession of F.G. Hilton Price (v.2) 									http://hdl.handle.net/2333.1/63xsj8kw	F.G. Hilton Price			ebook							Ancient World Digital Library	global.5644.217	744746900b		744746900	
A collection of hieroglyphs a contribution to the history of Egyptian writing, 									http://hdl.handle.net/2333.1/v41nsbxd				ebook							Ancient World Digital Library	global.5644.217	681714968		681714968	
A companion to Demotic studies 									http://hdl.handle.net/2333.1/zgmsbj8x	Mark Depauw			ebook							Ancient World Digital Library	global.5644.217	669688620		669688620	
A Cow of Sîn 									http://hdl.handle.net/2333.1/sf7m0fb0	N. Veldhuis										Ancient World Digital Library	global.5644.217			1224929199	
A guide to the Egyptian galleries (sculpture) 									http://hdl.handle.net/2333.1/83bk3vdf				ebook							Ancient World Digital Library	global.5644.217	679861170		679861170	
A History of the Jews in Babylonia, Part 2. The Early Sasanian Period 									http://hdl.handle.net/2333.1/bvq83dc0	J. Neusner										Ancient World Digital Library	global.5644.217			578302037	
A History of the Jews in Babylonia, Part 4. The Age of Shapur II 									http://hdl.handle.net/2333.1/wwpzgpp0	J. Neusner										Ancient World Digital Library	global.5644.217			578302037	
A History of the Jews in Babylonia, Part 5. Later Sasanian Times 									http://hdl.handle.net/2333.1/s4mw6p64	J. Neusner										Ancient World Digital Library	global.5644.217			578302037	
A New “Roman” Sword from Soknopaiou Nesos (El-Fayyum, Egypt) 									http://doi.org/2333.1/c59zw6cw	Paola Davoli										Ancient World Digital Library	global.5644.217			1225156159	
